length,charge,net_charge,charge_density,hydrophobic_fraction,aromatic_fraction,positive_fraction,negative_fraction,polar_fraction,gravy,aromaticity,instability_index,isoelectric_point,entropy,charge_hydrophobic_ratio,aromatic_hydrophobic_ratio,beta_propensity,amp_favorable_fraction,hydrophobic_moment,amphipathicity,dataset,sequence_id
11,1.759092613290301,2.0,0.15991751029911827,0.45454545454545453,0.0,0.18181818181818182,0.0,0.2727272727272727,0.6727272727272727,0.0,23.290909090909093,11.000836753845213,2.9139770731827523,3.8699952352491453,0.0,0.36363636363636365,0.18181818181818182,1.0133032837787792,0.08264462809917356,amyAMP,seq_epochs_()_num_1
24,1.73730263099428,2.0,0.07238760962476166,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.0,0.375,0.08333333333333333,0.08333333333333334,58.00416666666666,8.859390449523925,3.4072682296173893,8.339012601512056,0.39999808000921594,0.125,0.20833333333333334,0.7327892081543849,0.017361111111111112,amyAMP,seq_epochs_()_num_2
20,1.8810407742106712,2.0,0.09405203871053355,0.3,0.1,0.1,0.0,0.3,-0.31499999999999995,0.05,58.129999999999995,9.995001029968265,3.6464393446710153,6.270115013652193,0.33333222222592596,0.25,0.1,0.8319345396433253,0.03,amyAMP,seq_epochs_()_num_3
18,6.755086609394296,7.0,0.37528258941079423,0.2222222222222222,0.0,0.3888888888888889,0.0,0.2222222222222222,-0.8,0.0,50.95000000000002,11.999967765808105,2.927451224964519,30.39775295238605,0.0,0.2222222222222222,0.3888888888888889,0.4834267080158911,0.08641975308641975,amyAMP,seq_epochs_()_num_4
23,4.755919069169508,5.0,0.20677908996389166,0.30434782608695654,0.08695652173913043,0.2608695652173913,0.043478260869565216,0.21739130434782608,-0.5956521739130435,0.08695652173913043,15.30869565217391,10.125549507141113,3.174885868724236,15.626539882925911,0.28571334694186007,0.21739130434782608,0.30434782608695654,1.1977221530608089,0.09262759924385634,amyAMP,seq_epochs_()_num_5
15,1.4581484572195973,2.0,0.09720989714797315,0.4,0.0,0.13333333333333333,0.0,0.26666666666666666,0.6733333333333335,0.0,38.22666666666667,10.000738716125486,3.0062389286533895,3.6453620296439193,0.0,0.3333333333333333,0.13333333333333333,1.1265421527892758,0.05333333333333334,amyAMP,seq_epochs_()_num_6
13,0.794875586855086,1.0,0.06114427591192969,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,2.123076923076923,0.07692307692307693,-3.1000000000000005,8.795051002502444,2.6235166412180155,0.9393973106319163,0.09090898347120135,0.5384615384615384,0.15384615384615385,0.9420505314391915,0.0650887573964497,amyAMP,seq_epochs_()_num_7
16,2.7599050732655095,3.0,0.17249406707909434,0.3125,0.0,0.25,0.0625,0.25,-0.48750000000000004,0.0,16.106250000000003,10.289686012268067,3.452819531114783,8.831667973112117,0.0,0.1875,0.25,1.3577932646526196,0.09765625,amyAMP,seq_epochs_()_num_8
24,4.833358808548875,5.0,0.2013899503562031,0.4583333333333333,0.125,0.20833333333333334,0.0,0.25,-0.07916666666666651,0.08333333333333334,-2.804166666666667,10.464330863952636,3.5739348962840567,10.545487119407467,0.27272667768724873,0.2916666666666667,0.2916666666666667,2.1516500693641145,0.0954861111111111,amyAMP,seq_epochs_()_num_9
13,1.758103612191301,2.0,0.13523873939933084,0.6923076923076923,0.07692307692307693,0.15384615384615385,0.0,0.15384615384615385,1.146153846153846,0.07692307692307693,15.084615384615384,10.002737236022949,2.873140679513133,2.539479327250629,0.11111095061751577,0.46153846153846156,0.23076923076923078,1.1358484233302055,0.10650887573964497,amyAMP,seq_epochs_()_num_10
15,5.8432597986478845,6.0,0.3895506532431923,0.4,0.26666666666666666,0.4,0.0,0.06666666666666667,-0.58,0.2,36.199999999999996,11.999967765808105,2.973557262275185,14.60811297633727,0.6666650000041666,0.3333333333333333,0.6,1.2974902142198799,0.16000000000000003,amyAMP,seq_epochs_()_num_11
7,0.46013645931759795,1.0,0.06573377990251399,0.42857142857142855,0.0,0.14285714285714285,0.0,0.42857142857142855,0.7999999999999999,0.0,63.60000000000001,9.46507091522217,2.1280852788913944,1.0736492332261844,0.0,0.42857142857142855,0.14285714285714285,2.060118797495909,0.06122448979591836,amyAMP,seq_epochs_()_num_12
19,4.746194620194288,5.0,0.24979971685233093,0.42105263157894735,0.05263157894736842,0.2631578947368421,0.0,0.21052631578947367,0.5894736842105263,0.052631578947368425,6.705263157894738,10.479351997375485,3.40582225028569,11.272185451520988,0.12499970312570509,0.3684210526315789,0.3684210526315789,1.902481059147062,0.11080332409972297,amyAMP,seq_epochs_()_num_13
8,0.794875586855086,1.0,0.09935944835688575,0.375,0.0,0.125,0.0,0.125,0.4249999999999999,0.0,24.1375,8.795051002502444,2.5,2.119662579180018,0.0,0.125,0.125,1.1150691730449669,0.046875,amyAMP,seq_epochs_()_num_14
7,1.758103612191301,2.0,0.25115765888447156,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,1.157142857142857,0.0,-12.428571428571427,10.002737236022949,2.2359263506290326,3.0766759371518866,0.0,0.5714285714285714,0.2857142857142857,0.4336304726605716,0.16326530612244897,amyAMP,seq_epochs_()_num_15
12,2.7472036210932904,3.0,0.22893363509110753,0.4166666666666667,0.08333333333333333,0.25,0.0,0.3333333333333333,0.2166666666666666,0.08333333333333334,14.749999999999996,9.790184974670407,2.8553885422075336,6.593272866769017,0.19999952000115198,0.4166666666666667,0.4166666666666667,2.0200402334187384,0.10416666666666667,amyAMP,seq_epochs_()_num_16
20,2.792877584857085,3.0,0.13964387924285424,0.45,0.0,0.15,0.0,0.15,0.73,0.0,-6.530000000000001,10.302321815490721,3.0332062193464955,6.20638084105832,0.0,0.3,0.15,0.6575111153620403,0.0675,amyAMP,seq_epochs_()_num_17
10,1.7240674000561405,2.0,0.17240674000561404,0.3,0.0,0.2,0.0,0.4,0.5399999999999998,0.0,4.690000000000002,10.350995445251463,2.721928094887362,5.746872177279878,0.0,0.3,0.3,0.4779384906371408,0.06,amyAMP,seq_epochs_()_num_18
13,3.7580736124912977,4.0,0.28908258557625366,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.0,0.3076923076923077,-0.5923076923076923,0.07692307692307693,-3.100000000000001,11.723011589050294,2.8150724101159437,9.770965987965806,0.199999480001352,0.3076923076923077,0.3076923076923077,0.8549996804362273,0.1183431952662722,amyAMP,seq_epochs_()_num_19
26,7.753098607296296,8.0,0.29819610028062676,0.46153846153846156,0.038461538461538464,0.3076923076923077,0.0,0.11538461538461539,0.5615384615384615,0.038461538461538464,19.103846153846153,11.471778297424319,2.8284768541773575,16.798343919396817,0.08333315277816898,0.38461538461538464,0.34615384615384615,1.1530823037253992,0.14201183431952663,amyAMP,seq_epochs_()_num_20
7,-0.23989838581069733,0.0,0.03427119797295676,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,2.4857142857142853,0.0,47.085714285714275,5.525000190734862,2.5216406363433186,0.4198214404811995,0.0,0.5714285714285714,0.0,0.6196363418975378,0.0,amyAMP,seq_epochs_()_num_21
17,1.7462046200942891,2.0,0.10271791882907583,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.0,0.4117647058823529,-0.34117647058823536,0.11764705882352942,17.64117647058824,9.112880134582518,3.1018812234760182,5.937075522263807,0.399998640004624,0.29411764705882354,0.17647058823529413,1.0004819343101914,0.03460207612456748,amyAMP,seq_epochs_()_num_22
9,2.4993256868423406,3.0,0.2777028540935934,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.6666666666666667,0.3333333333333333,98.46666666666668,11.711342811584473,2.4193819456463714,4.498778138515563,0.5999989200019439,0.3333333333333333,0.5555555555555556,1.921855888374611,0.18518518518518517,amyAMP,seq_epochs_()_num_23
20,4.843249798747882,5.0,0.24216248993739412,0.5,0.25,0.25,0.0,0.1,-0.32500000000000007,0.2,20.27,11.068979835510252,3.346439344671015,9.686480224535314,0.499999000002,0.4,0.35,1.2932130003469628,0.125,amyAMP,seq_epochs_()_num_24
21,3.747183621293288,4.0,0.17843731529968038,0.5238095238095238,0.047619047619047616,0.19047619047619047,0.0,0.19047619047619047,0.9857142857142859,0.047619047619047616,24.419047619047618,10.306834602355956,3.368042422572715,7.153700529040721,0.09090891735570321,0.47619047619047616,0.23809523809523808,1.3029901562457697,0.09977324263038549,amyAMP,seq_epochs_()_num_25
11,4.756095610293298,5.0,0.43237232820848165,0.18181818181818182,0.0,0.45454545454545453,0.0,0.2727272727272727,-1.3818181818181818,0.0,70.95454545454545,11.33375148773193,2.7321588913645707,26.158381985512218,0.0,0.18181818181818182,0.45454545454545453,1.8184075258787609,0.08264462809917356,amyAMP,seq_epochs_()_num_26
